study_or_title,design,pmid,corpus_status,screen_decision
"Association of glucagon-like peptide-1 receptor agonist use with anxiety disorders, d",cohort,41592697,in_corpus,include
Association between GLP-1 receptor agonist use and worsening mental illness in people,cohort,41862258,in_corpus,include
"The risk of depression, anxiety, and suicidal behavior in patients with obesity on gl",cohort,39424950,in_corpus,include
Risk of suicidal ideation and suicidality among adults prescribed semaglutide for wei,cohort,40760781,in_corpus,include
Examining the risk of depression or self-harm associated with incretin-based therapie,cohort,30297350,in_corpus,include
GLP-1 receptor agonists and risk of suicide or suicide attempts - A nationwide cohort,cohort,42000905,in_corpus,include
Association between Symptoms of Depression and Generalised Anxiety Disorder Evaluated,cohort,39125320,in_corpus,include
Depression and Anxiety Among Individuals Receiving Incretin Mimetic Medications: A Sa,cohort,42072949,in_corpus,include
Association of glucagon-like peptide-1 receptor agonists with suicidal ideation and s,cohort,39103719,in_corpus,include
Risk of Psychiatric Worsening With GLP-1 Receptor Agonist Use in Patients With Type 2,cohort,42209408,in_corpus,include
Glucagon-Like Peptide-1 Use and Healthcare Resource Utilization for Depression and An,cohort,40439835,in_corpus,include
Association of GLP-1 receptor agonist use with psychiatric outcomes in adults with ty,cohort,41386528,in_corpus,include
GLP-1 Receptor Agonist Use and Risk of Suicide Death.,cohort,39226030,in_corpus,include
"Glucagon-like peptide-1 receptor agonists and reduced mortality, cardiovascular and p",cohort,40897378,in_corpus,include
Repurposing Semaglutide and Liraglutide for Alcohol Use Disorder.,self-controlled,39535805,in_corpus,include
Retrospective chart review on psychiatric manifestations of GLP-1 agonist usage.,cohort,41616750,in_corpus,include
12-month neurological and psychiatric outcomes of semaglutide use for type 2 diabetes,cohort,39764175,in_corpus,include
Glucagon-Like Peptide-1 Receptor Agonists and Risk for Suicidal Ideation and Behavior,cohort,39008852,in_corpus,include
Exploratory associations between co-occurring opioid and alcohol use disorders and GI,cohort,42265341,in_corpus,include
"Association between tirzepatide use and risk of mortality, hospitalization, and suici",cohort,41389474,in_corpus,include
Glucagon-like peptide-1 receptor agonists and risk of substance use disorders among U,cohort,41781010,in_corpus,include
Glucagon-like peptide receptor agonists and risk for depression.,cohort,38852027,in_corpus,include
Depression following the initiation of glucagon-like-peptide-1 receptor agonist thera,self-controlled,41988822,in_corpus,include
Glucagon-like peptide-1 receptor agonists and risk of suicidality among patients with,cohort,40010803,in_corpus,include
Decreased Risk of Anxiety in Diabetic Patients Receiving Glucagon-like Peptide-1 Rece,cohort,35281896,in_corpus,include
"Cross-sectional, case-control and longitudinal associations between exposure to gluca",cohort,38650544,in_corpus,include
Association of tirzepatide and the risk of suicide in a real-world cohort.,cohort,41334076,in_corpus,include
"Feasibility, Adherence and Efficacy of Liraglutide Treatment in a Sample of Individua",cohort,30728788,in_corpus,include
Mental health changes after 4&#x2009;months of weight loss treatment with the glucago,cohort,41491619,in_corpus,include
Glucagon-Like Peptide-1 Receptor Agonists and Risk of Mental Health Disorders in Type,cohort,42380063,in_corpus,include
Comparison of Effects of Glucagon-Like Peptide-1 Receptor Agonists Compared to Long-A,cohort,40124098,in_corpus,include
Association of semaglutide with risk of suicidal ideation in a real-world cohort.,cohort,38182782,in_corpus,include
Glucagon-like peptide-1 receptor agonists and suicide risk in individuals with diabet,cohort,41050856,in_corpus,include
Neuropsychiatric association of tirzepatide and semaglutide in obesity with and witho,cohort,42373755,in_corpus,include
Effect of Exenatide Use on Cognitive and Affective Functioning in Obese Patients With,cohort,34016830,in_corpus,include
Comparative safety of glucose-lowering medications on depression in adults with type ,cohort,41479367,in_corpus,include
