outcome,domain,r1_delta,r2_delta,agree,resolved_delta,r1_backend,r2_backend,r1_reason,r2_reason,judge
suicidal ideation,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population (obesity vs T2D), and outcome (suicidal ideation) directly match the PICO; suicidal ideation is a patient-important outcome, not a surrogate.","No explicit population, intervention/exposure, comparator, or outcome mismatch is provided; suicidal ideation is the directly assessed outcome rather than a surrogate.",
suicidal ideation,publication_bias,0,-1,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,k=3 studies — too few to assess funnel plot asymmetry or Egger's test reliably.,"Only 3 observational studies; funnel plot/Egger testing would be unreliable at k<10, and small-study or selective-publication effects cannot be adequately assessed.","{'resolution': 'ESCALATE_TO_HUMAN', 'reason': ""Both reviewers agree k=3 is too few for reliable funnel plot/Egger's test assessment, but they draw opposite conclusions from this shared fact: Reviewer 1 treats undetectable asymmetry as no basis for downgrading (delta=0), while Reviewer 2 treats the inherent unreliability of assessment at low k as itself grounds for downgrading (delta=-1). GRADE guidance is genuinely split on this point—some frameworks default to 'undetected/not serious' when a domain can't be evaluated, others hold that publication bias should be suspected/downgraded by default for bodies of evidence with few studies (especially observational, industry-independent-registry-absent contexts) since small trials/observational studies with null or unfavorable results are disproportionately unpublished. The evidence provided does not include additional context (e.g., trial registry checks, grey literature search, funder patterns) that would let us adjudicate which convention applies here, so this is a judgment call requiring human methodologist input rather than one resolvable from the stated reasoning alone.""}"
suicidal ideation,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"CI [0.37, 1.477] spans the null value of 1, indicating a non-significant, modest-magnitude association.","No clearly large, precise effect is demonstrated; the confidence interval includes the null and extends across both possible benefit and harm.",
suicidal ideation,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response gradient data provided in the evidence context.,No monotonic dose-response gradient is reported.,
suicidal ideation,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specific evidence indicating that plausible residual confounding would bias the estimate toward the null.,No evidence is provided that plausible residual confounding would bias the observed association toward the null.,
suicidality (composite),indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population (obesity vs T2D), comparator, and outcome (suicidality composite) align directly with the PICO; outcome is patient-important, not a surrogate.",No clear PICO mismatch identified; suicidality composite is a patient-important clinical outcome rather than a surrogate.,
suicidality (composite),publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=2 studies only,"Only 2 observational studies; funnel plot/Egger testing would be unreliable, and no specific evidence of selective publication is provided.",
suicidality (composite),upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Pooled CI 0.817-1.091 straddles the null,Effect estimate is not large; CI 0.817 to 1.091 is compatible with little or no effect and does not meet RR >2 or <0.5 criteria.,
suicidality (composite),upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response data provided in evidence context,No monotonic dose-response gradient is reported.,
suicidality (composite),upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No information indicating confounding structure or direction,No evidence that plausible residual confounding would bias the estimate toward the null.,
suicide attempt/self-harm,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population, intervention/comparator (obesity vs T2D), and outcome (suicide attempt/self-harm) align directly with the PICO; outcome is a hard, patient-important endpoint, not a surrogate.","Available context does not identify a mismatch in population, intervention/comparator, or outcome; suicide attempt/self-harm is a direct, patient-important outcome rather than a surrogate.",
suicide attempt/self-harm,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"k=4 studies, below the threshold (k<10) at which funnel plot/Egger's test asymmetry is interpretable.","Only 4 observational studies are available, so funnel plot/Egger testing would be unreliable; no specific evidence of small-study effects or selective publication is provided.",
suicide attempt/self-harm,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Pooled CI [0.576, 0.871] implies a point estimate near RR~0.71, which does not meet the >2 or <0.5 threshold for a large effect.","The confidence interval is 0.576 to 0.871; the effect is not clearly large by GRADE criteria for observational evidence, i.e., RR <0.5 or >2.",
suicide attempt/self-harm,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"No dose-response data (e.g., graded exposure levels or severity strata) reported in the evidence context.",No monotonic dose-response gradient is reported in the supplied evidence context.,
suicide attempt/self-harm,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specified direction of plausible residual confounding relative to the null for this comparison.,No evidence is provided that plausible residual confounding would bias the observed association toward the null.,
completed suicide,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population (obesity vs T2D), comparator, and outcome (completed suicide) align directly with the PICO; suicide is a hard clinical outcome, not a surrogate.","Completed suicide is a direct, hard clinical outcome and no PICO mismatch is specified in the provided evidence context.",
completed suicide,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"k=1 study, no funnel plot or Egger's test feasible; single-study evidence base precludes assessment of small-study effects.","Only one observational study is available (k=1); funnel plot/Egger testing is not informative, and no specific evidence of publication bias is provided.",
completed suicide,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"95% CI [0.83, 1.88] spans the null value of 1 and does not indicate a large effect (RR>2 or <0.5).",The confidence interval is 0.83 to 1.88 and does not demonstrate a large effect threshold such as RR >2 or <0.5.,
completed suicide,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response data provided; only a single pooled observational estimate (k=1) is available.,No monotonic dose-response gradient is reported in the provided evidence context.,
completed suicide,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specific information indicating that residual confounding would bias the estimate toward the null.,No evidence is provided that plausible residual confounding would bias the association toward the null.,
depression,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Exposure contrast (obesity vs T2D) and depression outcome match the PICO directly; depression assessed as a clinical outcome, not a surrogate.",No specific PICO mismatch is indicated; depression is a direct patient-important outcome rather than a surrogate.,
depression,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"k=3 studies, insufficient for funnel plot or Egger's test assessment","Only 3 studies; funnel plot/Egger testing would be unreliable at k<10, and no direct evidence of selective publication is provided.",
depression,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Pooled CI 0.741-3.162 crosses null; implied point estimate (~1.5) does not clearly exceed RR>2 threshold,"No clearly established large, robust effect is shown; the confidence interval includes the null and there is no evidence that confounding is unlikely.",
depression,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response data provided in the evidence context,No monotonic dose-response gradient is reported.,
depression,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No information indicating residual confounding would bias toward the null,No evidence is provided that plausible residual confounding would bias the observed association toward the null.,
anxiety,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population (obesity vs T2D), comparator, and outcome (anxiety) align directly with the PICO; anxiety is a patient-important, directly measured outcome, not a surrogate.",No specific PICO mismatch is provided; anxiety is a direct patient-important mental health outcome rather than a surrogate.,
anxiety,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=2 studies only,"k=2; funnel plot/Egger testing would be unreliable, and no additional evidence of selective publication or small-study effects is provided.",
anxiety,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Pooled CI [0.333, 0.867]","Observed CI is 0.333 to 0.867; although the point estimate may suggest benefit, the available information does not establish a very large effect that is unlikely to be explained by confounding.",
anxiety,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response data reported,No monotonic dose-response gradient is reported.,
anxiety,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specific confounding structure described,No clear residual confounding is identified that would plausibly bias the observed association toward the null.,
suicidal behaviour (composite),indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population (obesity/T2D), intervention, comparator, and outcome (suicidal behaviour composite, a hard/patient-important outcome) all align directly with the PICO of interest; no surrogate outcome or off-target population/intervention issues apparent.",RCT evidence directly addresses the clinical outcome of suicidal behaviour as a composite; no surrogate outcome issue is apparent.,
suicidal behaviour (composite),publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"k=23 RCTs, above the conventional k<10 threshold, so a small-study test IS warranted and was run (contour-enhanced funnel + Peters + Harbord on the 23 event-contributing trials, 71 events): Peters p=0.50, Harbord p=0.32 — no funnel asymmetry; the size-adjusted estimate (OR~0.93) agrees with the pool (OR~0.84). No downgrade is now test-backed, not asserted. Power is low with 71 events regardless. See docs/sensitivity_analyses_addendum.md, results/rct_small_study_test.csv, figures/rct_funnel_contour.png.",k=23 RCTs; Peters (p=0.50) and Harbord (p=0.32) small-study tests both non-significant and the contour-enhanced funnel is symmetric — no evidence of small-study/selective-publication effects. No downgrade.,
suicidal behaviour (composite),upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Stratum is RCT (is_rct: true); large-effect upgrade criterion applies only to observational evidence.,RCT stratum.,
suicidal behaviour (composite),upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Stratum is RCT; dose-response upgrade is not applicable to randomized evidence.,RCT stratum.,
suicidal behaviour (composite),upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Stratum is RCT; opposing residual confounding upgrade applies only to observational designs.,RCT stratum.,
