evidence_level,construct,direction_supported,directness_to_clinical_outcome,citation,finding
cellular-molecular,target engagement,neutral-or-context-dependent,remote,PMID:26500843,"Maps GLP-1R-expressing cells across mouse brain; receptor present in reward-relevant regions but sparse/heterogeneous — establishes a substrate, not a behavioural direction."
animal,target engagement,neutral-or-context-dependent,remote,PMID:22128031,Preproglucagon/GLP-1 neurons in the NTS project directly to VTA and NAc — anatomical basis for endogenous GLP-1 access to mesolimbic reward circuitry.
animal,target engagement,neutral-or-context-dependent,indirect,PMID:28315693,Central GLP-1R activation modulates cocaine-evoked phasic dopamine signalling in NAc — direct evidence GLP-1R engagement alters mesolimbic dopamine dynamics.
human,target engagement,supports-benefit,indirect,PMID:25071023,"In humans, GLP-1R activation modulates activation of appetite- and reward-related brain areas to food cues (fMRI) — human target engagement of reward circuitry."
human,target engagement,neutral-or-context-dependent,indirect,PMID:31282006,Longer-term liraglutide at obesity dose INCREASED reward-related OFC activation to food cues at weight-loss plateau — reward effect is not monotonic 'dampening' but time/context dependent.
cellular-molecular,target engagement,neutral-or-context-dependent,remote,PMID:29617641,Canonical GLP-1R signalling (Gs/cAMP/PKA) mechanism review — defines the molecular pathway but does not itself imply any reward/mood direction.
cellular-molecular,target engagement,neutral-or-context-dependent,remote,PMID:31767182,"Comprehensive GLP-1 physiology/pharmacology review incl. central receptor distribution and signalling — background substrate evidence, direction-neutral."
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:33043520,GLP-1R signalling in the VTA reduces alcohol self-administration in male rats — regional causal evidence linking mesolimbic GLP-1R to reduced reward-seeking.
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:36480394,"GLP-1R activation in NAc, ventral hippocampus and lateral septum reduces alcohol reinforcement in mice — multiple mesolimbic nodes reduce reinforcement."
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:26303264,Liraglutide attenuates the reinforcing properties of alcohol in rodents — clinically-used agonist reduces reward in vivo.
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:29497166,"GLP-1R activation in the VTA attenuates cocaine seeking in rats — reduced drug-seeking, a craving-analogue endpoint."
animal,behavioural/functional consequence,supports-benefit,indirect,PMID:26072178,Exendin-4 reduces cocaine self-administration in mice — cross-substance reduction in reward-driven behaviour.
