pmid,doi,year,journal,title,substances,include,design,substance,reason,screen_method
42383218,10.1016/j.xops.2026.101245,2026,"{'title': 'Ophthalmology science', 'iso_abbreviation': 'Ophthalmol Sci'}",Association of Tirzepatide versus Glucagon-Like Peptide-1 Receptor Agonists with Incident Glaucoma in Patients with Type 2 Diabetes: A Retrospective Cohort Study.,nicotine,False,cohort,other,Glaucoma outcome unrelated to addiction/reward,LLM (title/abstract)
42196481,10.3390/ijms27104502,2026,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}",Searching for New Pharmacological Treatments of Alcohol Use Disorder (AUD): Focus on GLP-1 Receptor Agonists.,alcohol;other,False,review,alcohol,Narrative review; no quantitative addiction outcomes reported,LLM (title/abstract)
42151525,10.1007/s11606-026-10515-2,2026,"{'title': 'Journal of general internal medicine', 'iso_abbreviation': 'J Gen Intern Med'}",GLP-1 Receptor Agonist Treatment and Health Outcomes in Methadone-Treated Patients with Opioid Use Disorder and Diabetes.,other,True,cohort,opioid,GLP-1 RA in methadone OUD patients; OUD remission quantified,LLM (title/abstract)
42144979,10.1111/acer.70312,2026,"{'title': 'Alcohol, clinical & experimental research', 'iso_abbreviation': 'Alcohol Clin Exp Res (Hoboken)'}",GLP-1 Receptor Agonists for Treating Alcohol Use Disorder: A Critical Review.,alcohol,False,review,alcohol,Narrative review; no original quantitative data reported,LLM (title/abstract)
42117113,10.1093/crocol/otag027,2026,"{'title': ""Crohn's & colitis 360"", 'iso_abbreviation': 'Crohns Colitis 360'}",Comparison of IBD-related outcomes in patients with obesity treated with GLP-1 receptor agonists versus bariatric surgery.,nicotine,False,cohort,other,"IBD outcomes, not addiction/reward endpoints",LLM (title/abstract)
42070571,10.1016/S0140-6736(26)00305-3,2026,"{'title': 'Lancet (London, England)', 'iso_abbreviation': 'Lancet'}","Once-weekly semaglutide versus placebo in patients with alcohol use disorder and comorbid obesity: a randomised, double-blind, placebo-controlled trial.",alcohol;other,True,RCT,alcohol,Randomized controlled trial; semaglutide vs placebo; heavy drinking days primary outcome,LLM (title/abstract)
41967661,10.1016/j.biopsych.2026.04.002,2026,"{'title': 'Biological psychiatry', 'iso_abbreviation': 'Biol Psychiatry'}",Therapeutic Potential of Glucagon-Like Peptide-1 Receptor Agonists for Smoking Cessation.,nicotine;other,False,review,nicotine,Narrative review; no original data reported,LLM (title/abstract)
41918364,10.1158/1940-6207.CAPR-26-0018,2026,"{'title': 'Cancer prevention research (Philadelphia, Pa.)', 'iso_abbreviation': 'Cancer Prev Res (Phila)'}","Appetite, Obesity, Metabolism, and Malignancy: Do Incretin-Mimetic Drugs Reduce Cancer Risk?",nicotine,False,review,other,"Review article, no quantitative addiction/reward outcome data",LLM (title/abstract)
41903537,10.1016/j.neuron.2026.02.019,2026,"{'title': 'Neuron', 'iso_abbreviation': 'Neuron'}",A septal inhibitory circuit constrains alcohol reward and mediates liraglutide's suppressive effects on alcohol intake in mice.,alcohol;other,False,preclinical,alcohol,"Mouse model study; preclinical, not human",LLM (title/abstract)
41895589,10.1016/j.avsg.2026.03.023,2026,"{'title': 'Annals of vascular surgery', 'iso_abbreviation': 'Ann Vasc Surg'}",GLP-1 Receptor Agonist Use Is Associated with Venous Ulcer Healing and Fewer Wound Infections.,nicotine,False,cohort,other,No addiction/reward/consumption endpoint studied,LLM (title/abstract)
41883728,10.3389/fpsyt.2026.1766770,2026,"{'title': 'Frontiers in psychiatry', 'iso_abbreviation': 'Front Psychiatry'}",Association between GLP-1 receptor agonist use and substance use disorders among individuals with type 2 diabetes or obesity: a nested case-control study in the All of Us research program.,nicotine,True,case-control,multiple,"Nested case-control, GLP-1 RA, multiple SUD outcomes quantified",LLM (title/abstract)
41870138,10.1093/sxmrev/qeag015,2026,"{'title': 'Sexual medicine reviews', 'iso_abbreviation': 'Sex Med Rev'}",GLP-1 receptor agonists and sexual function in women and men: a narrative review of emerging evidence and the need for further research.,other,False,review,other,Narrative review; no quantitative addiction outcome,LLM (title/abstract)
