track,study_id,framework,domain,r1,r2,reason,human_resolution,status
A-RCT,27005405,RoB2,D2,Low,High,major disagreement (judge escalate),Some concerns,RESOLVED
A-RCT,27005405,RoB2,D4,Some concerns,Low,major disagreement (judge escalate),Some concerns,RESOLVED
A-RCT,28910237,RoB2,D3,Some concerns,High,major disagreement (judge escalate),High,RESOLVED
A-RCT,26630143,RoB2,D4,Some concerns,High,major disagreement (judge escalate),High,RESOLVED
A-RCT,33567185,RoB2,D3,Some concerns,Low,major disagreement (judge escalate),Some concerns,RESOLVED
A-obs,30728788,ROBINS-I,D1,,,judge_escalate,Critical,RESOLVED
A-obs,30728788,ROBINS-I,D7,,,judge_escalate,Moderate,RESOLVED
A-obs,41386528,ROBINS-I,D4,,,judge_escalate,No information,RESOLVED
A-obs,41386528,ROBINS-I,D5,,,judge_escalate,Serious,RESOLVED
A-obs,41491619,ROBINS-I,D1,,,judge_escalate,Critical,RESOLVED
A-obs,41988822,ROBINS-I,D6,,,judge_escalate,Moderate,RESOLVED
Stream-D,41883728,ROBINS-I,D3,,,reconciliation failed -> judge escalate,Moderate,RESOLVED
Stream-D,41883728,ROBINS-I,D4,,,reconciliation failed -> judge escalate,Serious,RESOLVED
Stream-D,41883728,ROBINS-I,D5,,,reconciliation failed -> judge escalate,No information,RESOLVED
Batch2-obs,41616750,,D4,Moderate,Serious,reconciliation failed -> judge escalate,,PENDING
Batch2-obs,41862258,,D3,Low,Moderate,reconciliation failed -> judge escalate,,PENDING
Batch2-obs,41862258,,D6,Low,Moderate,reconciliation failed -> judge escalate,,PENDING
Batch2-obs,42380063,,D3,Low,Moderate,reconciliation failed -> judge escalate,,PENDING
Batch2-RCT,31189511,,D5,,,reconciliation failed -> judge escalate,,PENDING
Batch2-RCT,30291013,,D5,,,reconciliation failed -> judge escalate,,PENDING
