packet_id,layer,study_pmid,domain,domain_name,source_quote,human_label
ROB_000,rob,41050856,D6,Measurement of outcomes,"this study relied on diagnostic codes from electronic health records, which may underreport or misclassify cannabis use, GLP-1 RA exposure, and suicide-related outcomes due to incomplete documentation or variability in coding practices across institutions.",
ROB_001,rob,41592697,D4,Deviations from intended interventions,"Furthermore, participants should not use the comparator drug at the time of cohort entry and should use only one medication from the drug class to avoid any possible synergistic effect of the medications",
ROB_002,rob,39226030,D5,Missing data,"Nonfatal self-harm is known to be underreported in Denmark, 19 and the absolute risks of the secondary outcome analysis, including this outcome, are likely underestimated, as is demonstrated by the substantially lower rates observed in Denmark compared to Sweden.",
ROB_003,rob,39226030,D2,Selection of participants,"Using an active-comparator new-user design, 16 we included all new users of either GLP-1 receptor agonists or sodium-glucose cotransporter-2 (SGLT2) inhibitors (comparator) who were 18 to 84 years old during 2013 to 2021",
ROB_004,rob,39103719,D2,Selection of participants,Patients filling a prescription for either GLP-1RA or SGLT-2i medication and not having filled a prescription for a glucose-lowering drug (except for metformin) in the previous 365 days were considered new users.,
ROB_005,rob,38182782,D3,Classification of interventions,EHR data had limited information on semaglutide brand names and dosage information: 57.1% had unknown dosage and 70.8% had unknown brand name information.,
ROB_006,rob,41592697,D7,Selection of the reported result,"The primary outcomes were depression (International Classification of Diseases, 10th Revised, code F32, F33, and F34), anxiety disorders (F40, F41, F43, F44, F45, and F48), suicidal ideation (R45.851), and self-harm (X71-X83).",
ROB_007,rob,42000905,D4,Deviations from intended interventions,"Treatment duration was based on the number of daily defined doses filled, with 90 extra follow-up days for irregular use. A gap over 90 days between prescription fills marked the end of treatment, to account for immortal time bias.",
ROB_008,rob,38852027,D1,Confounding,"Confounding bias was considered serious in some studies, whereas selection bias and classification of interventions were consistently rated as low risk.",
ROB_009,rob,38852027,D4,Deviations from intended interventions,"Bias due to deviations from intended interventions and missing data was rated as moderate in certain studies, while selective reporting bias remained low.",
ROB_010,rob,42209408,D7,Selection of the reported result,"Prespecified sensitivity analyses examined extended follow-up at 2 years and 3 years, a 3-month-to-1-year landmark analysis to reduce concerns about early-event and protopathic bias, and a cohort beginning in 2016 to assess robustness to the cohort entry period.",
ROB_011,rob,30297350,D4,Deviations from intended interventions,"Censoring occurred on the earliest date of the following events: discontinuation of the incretin-based therapy of interest or comparator, switching between an incretin-based therapy to the comparator (or vice versa), leaving a CPRD practice site, death, end of study period.",
ROB_012,rob,39424950,D7,Selection of the reported result,We conducted a detailed subgroup analysis comparing different GLP-1 RA groups to non-GLP-1 RA users.,
ROB_013,rob,38852027,D6,Measurement of outcomes,Outcome measurement bias was also low across studies.,
ROB_014,rob,35281896,D2,Selection of participants,Patients who were newly diagnosed in 2011–2017 with DM ... at least twice were considered as the potential study population. The date of the initial diagnosis with DM was designated as the index date. Patients with DM prescribed with GLP1-RA ... in 2011–2017 were included in the GLP1-RA group.,
ROB_015,rob,39008852,D6,Measurement of outcomes,"The diagnosis codes for identifying suicide ideation and behaviors have been applied in observational studies( 16 , 17 ). One systematic review of validation studies showed that the diagnosis codes could accurately identify patients with suicidal ideation and behaviors, with a positive predictive value (PPV) from 83% −100%( 18 , 19 ).",
ROB_016,rob,41334076,D2,Selection of participants,"However, we acknowledge that such a caliper may exclude certain patients, potentially introducing selection bias and reducing generalizability.",
ROB_017,rob,35281896,D1,Confounding,"our efforts to match and adjust for possible confounding factors might be biased by unmeasured or unknown confounders not available in the NHIRD. Information on some potential confounders, including body weight, smoking, diet, exercise, stress, or family history, was not available in the NHIRD",
ROB_018,rob,39103719,D7,Selection of the reported result,Ethics approval was obtained from the Clinic University Hospital of Valencia research ethics board (2022/164) with a waiver of informed consent.,
ROB_019,rob,40010803,D5,Missing data,"Variables with missing information (body mass index, smoking, haemoglobin A 1c , Index of Multiple Deprivation) were modelled with an unknown category.",
ROB_020,rob,41050856,D5,Missing data,"Some other clinical variables such as diabetes duration and severity, glycemic control, psychiatric comorbidities (e.g., depression, anxiety), social determinants of health, and use of other substances (e.g., alcohol, tobacco, illicit drugs) were not fully captured or controlled for, potentially biasing results.",
ROB_021,rob,39226030,D3,Classification of interventions,Patients entered the cohort at the time of their first filled prescription for either a GLP-1 receptor agonist or an SGLT2 inhibitor during the study period.,
ROB_022,rob,40010803,D7,Selection of the reported result,"This study emulates two target trials, one comparing GLP-1 receptor agonists with DPP-4 inhibitors and the other comparing GLP-1 receptor agonists with SGLT-2 inhibitors. Supplementary table S3 compares the characteristics of the target trials and the emulated trials using our observational datasets.",
ROB_023,rob,38182782,D5,Missing data,"TriNetX carries out an intensive data preprocessing stage to minimize missing values... For other variables, including medical conditions, procedures, laboratory tests and socioeconomic determinant health, the value is either present or absent, so ‘missing’ is not pertinent.",
ROB_024,rob,39226030,D4,Deviations from intended interventions,"We applied an as-treated exposure definition, in which patients were censored at switch-to or add-on treatment with the other study drug or treatment discontinuation.",
ROB_025,rob,38182782,D2,Selection of participants,The matched semaglutide and non-GLP1R agonist anti-obesity medication groups were followed during the 6-month time window after the index event (first prescription of semaglutide versus non-GLP1R agonist anti-obesity medications occurred from June 2021 through to December 2022).,
ROB_026,rob,42209408,D6,Measurement of outcomes,Suicidality was defined as suicidal ideation (ICD-10 R45.851) or suicide attempt (ICD-10T14.91). Antipsychotic (ATC Code N05A) use was selected as a clinically relevant indicator of treatment augmentation in patients with established depression.,
ROB_027,rob,38182782,D6,Measurement of outcomes,"Alternatively, they might have strengthened trust and facilitated the willingness of a patient to report suicidal ideation.",
ROB_028,rob,42209408,D5,Missing data,"Within the platform, patients with missing covariate data were excluded from the platform-generated analysis.",
ROB_029,rob,41050856,D7,Selection of the reported result,NO EVIDENCE IN TEXT,
ROB_030,rob,38182782,D7,Selection of the reported result,"We then examined the association of semaglutide prescription with both incident and recurrent suicidal ideation in patients with T2DM for longer follow-ups (1, 2 and 3 years).",
ROB_031,rob,35281896,D5,Missing data,"Both cohorts were followed to estimate follow-up person-years for each individual in both groups until incident depression ... and/or anxiety ... were identified, or the individual withdrew from the insurance, or the end of 2017.",
ROB_032,rob,42373755,D3,Classification of interventions,NO EVIDENCE IN TEXT,
