outcome,domain,r1_delta,r2_delta,agree,resolved_delta,r1_backend,r2_backend,r1_reason,r2_reason,judge
Alcohol — reduced adverse alcohol outcome,indirectness,-1,0,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,"Stratum contrasts obesity-only vs T2D populations rather than a single well-defined PICO population, and 'reduced adverse alcohol outcome' likely reflects a composite/self-reported proxy rather than a hard diagnostic endpoint (e.g., confirmed AUD).",No clear PICO mismatch is provided; the outcome is an adverse alcohol outcome rather than a surrogate.,"{'resolution': 'ESCALATE_TO_HUMAN', 'reason': ""The two reviewers disagree on a factual premise that cannot be adjudicated from the information given: whether the stratum actually mixes obesity-only and T2D populations, and whether 'reduced adverse alcohol outcome' is a composite/self-reported proxy or a direct clinical endpoint. No underlying study/PICO details, protocol, or outcome definition are provided in this prompt to confirm either claim. Resolving this requires access to the source review's PICO specification and outcome measurement definition, which is not available here, so the discrepancy should be escalated to a human with access to the underlying study documentation.""}"
Alcohol — reduced adverse alcohol outcome,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=4 studies — too few for funnel plot/Egger's test to be informative.,"Only 4 observational studies; funnel plot/Egger testing would be unreliable at k<10, and no specific evidence of small-study effects or selective publication is provided.",
Alcohol — reduced adverse alcohol outcome,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"CI [0.498, 0.955] implies a point estimate near RR/OR ~0.69, not exceeding the >2 or <0.5 threshold.","The confidence interval includes effects that are not large, and residual confounding cannot be ruled out.",
Alcohol — reduced adverse alcohol outcome,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response gradient data provided or computable from the given summary.,No monotonic dose-response gradient is reported.,
Alcohol — reduced adverse alcohol outcome,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,Bariatric/metabolic surgery cohorts are subject to healthy-user and indication bias that plausibly inflate apparent benefit rather than mask it.,No evidence is provided that plausible residual confounding would bias the observed association toward the null.,
Alcohol — AUDIT score reduction (anchor),indirectness,-1,0,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,Stratum pools obesity and T2D populations and mixes RCT with case-series designs; AUDIT is a continuous screening score used here as an 'anchor' proxy rather than a clinical alcohol-use-disorder outcome.,"AUDIT score reduction is a validated, patient-important alcohol-use severity outcome and directly matches the alcohol outcome anchor; no clear mismatch in intervention/comparator/population is provided.","{'resolution': -1, 'reason': ""Reviewer 1 identifies concrete indirectness concerns—population heterogeneity (pooled obesity and T2D strata) and mixed study designs (RCT plus case-series) that would not otherwise be captured under risk-of-bias/inconsistency domains—plus use of AUDIT as an 'anchor' proxy rather than a direct clinical AUD outcome. Reviewer 2's rebuttal is a generic assertion that AUDIT is validated and 'no clear mismatch,' but doesn't actually rebut the specific population-mixing and design-mixing issues raised. Since indirectness concerns population/comparator applicability and outcome measurement proxying, and Reviewer 1 provides specific, checkable reasons while Reviewer 2 offers only a general disagreement, delta=-1 is the better-supported call.""}"
Alcohol — AUDIT score reduction (anchor),publication_bias,0,-1,False,-1,claude:claude-sonnet-5,openai:gpt-5.5,k=4 studies; too few for funnel plot or Egger's test to be informative.,"Only 4 studies; funnel plot/Egger testing would be unreliable at k<10, and inclusion of case-series/uncontrolled evidence increases concern for selective publication of favorable alcohol-related findings.","{'resolution': -1, 'reason': ""Both reviewers agree k=4 is too small for funnel plot/Egger's test to be informative, so that alone wouldn't justify a downgrade. However, Reviewer 2 raises an additional, distinct concern beyond small-study-number limits: inclusion of case-series/uncontrolled evidence alongside controlled studies, which independently raises suspicion of selective reporting of favorable outcomes in the alcohol literature. This is a substantive, GRADE-consistent rationale for suspecting publication bias (asymmetric evidentiary base, likely selective outcome/study reporting) that Reviewer 1's assessment does not address or rebut. Since GRADE guidance allows downgrading for publication bias based on qualitative signals (e.g., mixed study designs, small evidence base, funder/field-specific reporting tendencies) even when formal statistical tests are underpowered, Reviewer 2's rationale is more complete and directly relevant to the domain being rated. Reviewer 1 does not dispute or address the case-series/mixed-evidence concern, so there is no genuine unresolved factual disagreement—just an omitted consideration. Resolution favors delta=-1.""}"
Alcohol — AUDIT score reduction (anchor),upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"No effect size, RR, or CI reported (events: null, ci: [null, null]).","No eligible large-effect upgrade: evidence is mixed RCT plus case-series, and no large RR-type effect estimate showing RR>2 or <0.5 is provided.",
Alcohol — AUDIT score reduction (anchor),upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response data provided or described in the evidence context.,No monotonic dose-response gradient is reported.,
Alcohol — AUDIT score reduction (anchor),upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No information on direction or plausibility of residual confounding is provided.,No evidence is provided that plausible residual confounding would bias the observed AUDIT reduction toward the null.,
Nicotine — reduced smoking/TUD,indirectness,-1,-1,True,-1,claude:claude-sonnet-5,openai:gpt-5.5,"Evidence pools obesity and T2D populations and treats smoking/tobacco-use-disorder reduction as an outcome measured incidentally to trials/emulations designed around metabolic endpoints, not as the primary indication-matched outcome.","Mixed RCT+TTE evidence appears to combine obesity/T2D-indicated populations and reduced smoking/TUD outcome definitions rather than a single, fully direct nicotine-cessation population and endpoint.",
Nicotine — reduced smoking/TUD,publication_bias,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,k=2 studies pooled (Mixed RCT+TTE),"Only 2 studies; funnel plot/Egger testing would be unreliable, and no specific evidence of small-study effects or selective publication is provided.",
Nicotine — reduced smoking/TUD,upgrade_large_effect,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"CI [0.626, 0.735], point estimate ~0.68",Effect estimate is protective but the CI range 0.626–0.735 does not meet the GRADE large-effect threshold of RR/HR <0.5.,
Nicotine — reduced smoking/TUD,upgrade_dose_response,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No dose-response gradient data reported,No monotonic dose-response gradient is reported.,
Nicotine — reduced smoking/TUD,upgrade_opposing_confounding,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,No specified direction of residual confounding,No clear residual confounding is identified that would be expected to bias the effect toward the null.,
Cannabis — reduced CUD incidence,indirectness,0,0,True,0,claude:claude-sonnet-5,openai:gpt-5.5,"Population, exposure (cannabis use), comparator, and outcome (incident CUD) align directly with the PICO; no surrogate outcome or population mismatch identified.","Incident CUD is a direct, patient-important outcome, not a surrogate; no clear mismatch in population, intervention, or comparator is specified in the provided context.",
