packet_id,layer,case_type,model_a,model_a_label,model_b,model_b_label,pipeline_decision
SCR_000,screening,confirm,claude-sonnet-5,include,claude-opus-4-8,include,include
SCR_001,screening,confirm,claude-sonnet-5,include,claude-opus-4-8,include,include
SCR_002,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_003,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,exclude
SCR_004,screening,confirm,claude-sonnet-5,include,claude-opus-4-8,include,include
SCR_005,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_006,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_007,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_008,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_009,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_010,screening,confirm,claude-sonnet-5,include,claude-opus-4-8,include,include
SCR_011,screening,confirm,claude-sonnet-5,include,claude-opus-4-8,include,include
SCR_012,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_013,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,exclude
SCR_014,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_015,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_016,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_017,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_018,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_019,screening,disagree,claude-sonnet-5,exclude,claude-opus-4-8,include,include
SCR_020,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_021,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_022,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_023,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_024,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_025,screening,confirm,claude-sonnet-5,exclude,claude-opus-4-8,exclude,exclude
SCR_026,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
SCR_027,screening,disagree,claude-sonnet-5,include,claude-opus-4-8,exclude,include
EXT_000,extraction,disagree,claude-sonnet-5,anxiety,claude-opus-4-8,neuropsychiatric_other,
EXT_001,extraction,disagree,claude-sonnet-5,0.53,claude-opus-4-8,0.73,
EXT_002,extraction,disagree,claude-sonnet-5,1.31,claude-opus-4-8,1.2,
EXT_003,extraction,disagree,claude-sonnet-5,0.91,claude-opus-4-8,1.52,
EXT_004,extraction,disagree,claude-sonnet-5,1.09,claude-opus-4-8,1.19,
EXT_005,extraction,confirm,claude-sonnet-5,protective,claude-opus-4-8,protective,
EXT_006,extraction,disagree,claude-sonnet-5,neuropsychiatric_other,claude-opus-4-8,depression,
EXT_007,extraction,confirm,claude-sonnet-5,protective,claude-opus-4-8,protective,
EXT_008,extraction,disagree,claude-sonnet-5,0.45,claude-opus-4-8,0.64,
EXT_009,extraction,disagree,claude-sonnet-5,0.58,claude-opus-4-8,0.93,
EXT_010,extraction,disagree,claude-sonnet-5,neuropsychiatric_other,claude-opus-4-8,composite_suicidality,
EXT_011,extraction,disagree,claude-sonnet-5,neuropsychiatric_other,claude-opus-4-8,depression,
EXT_012,extraction,disagree,claude-sonnet-5,0.57,claude-opus-4-8,0.62,
EXT_013,extraction,disagree,claude-sonnet-5,1.2,claude-opus-4-8,1.0,
EXT_014,extraction,disagree,claude-sonnet-5,1.09,claude-opus-4-8,0.83,
EXT_015,extraction,confirm,claude-sonnet-5,neuropsychiatric_other,claude-opus-4-8,neuropsychiatric_other,
EXT_016,extraction,disagree,claude-sonnet-5,depression,claude-opus-4-8,anxiety,
